Source,URL
Jump to content,https://en.wikipedia.org/wiki/Bangladesh#bodyContent
Main page,https://en.wikipedia.org/wiki/Main_Page
Contents,https://en.wikipedia.org/wiki/Wikipedia:Contents
Current events,https://en.wikipedia.org/wiki/Portal:Current_events
Random article,https://en.wikipedia.org/wiki/Special:Random
About Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About
Contact us,https://en.wikipedia.org/wiki/Wikipedia:Contact_us
Help,https://en.wikipedia.org/wiki/Help:Contents
Learn to edit,https://en.wikipedia.org/wiki/Help:Introduction
Community portal,https://en.wikipedia.org/wiki/Wikipedia:Community_portal
Recent changes,https://en.wikipedia.org/wiki/Special:RecentChanges
Upload file,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard
Special pages,https://en.wikipedia.org/wiki/Special:SpecialPages
,https://en.wikipedia.org/wiki/Main_Page
Search,https://en.wikipedia.org/wiki/Special:Search
Donate,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en
Create account,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Bangladesh
Log in,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=Bangladesh
Donate,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en
Create account,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Bangladesh
Log in,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=Bangladesh
(Top),https://en.wikipedia.org/wiki/Bangladesh#
"1
Etymology",https://en.wikipedia.org/wiki/Bangladesh#Etymology
"2
History",https://en.wikipedia.org/wiki/Bangladesh#History
"2.1
Early history",https://en.wikipedia.org/wiki/Bangladesh#Early_history
"2.2
Medieval period",https://en.wikipedia.org/wiki/Bangladesh#Medieval_period
"2.3
British colonial rule",https://en.wikipedia.org/wiki/Bangladesh#British_colonial_rule
"2.4
As part of Pakistan",https://en.wikipedia.org/wiki/Bangladesh#As_part_of_Pakistan
"2.5
Independent Bangladesh",https://en.wikipedia.org/wiki/Bangladesh#Independent_Bangladesh
"3
Geography",https://en.wikipedia.org/wiki/Bangladesh#Geography
"3.1
Climate",https://en.wikipedia.org/wiki/Bangladesh#Climate
"3.1.1
Climate change",https://en.wikipedia.org/wiki/Bangladesh#Climate_change
"3.2
Biodiversity",https://en.wikipedia.org/wiki/Bangladesh#Biodiversity
"4
Government and politics",https://en.wikipedia.org/wiki/Bangladesh#Government_and_politics
"4.1
Administrative divisions",https://en.wikipedia.org/wiki/Bangladesh#Administrative_divisions
"4.2
Foreign relations",https://en.wikipedia.org/wiki/Bangladesh#Foreign_relations
"4.3
Military",https://en.wikipedia.org/wiki/Bangladesh#Military
"4.4
Civil society",https://en.wikipedia.org/wiki/Bangladesh#Civil_society
"4.5
Human rights",https://en.wikipedia.org/wiki/Bangladesh#Human_rights
"4.6
Corruption",https://en.wikipedia.org/wiki/Bangladesh#Corruption
"5
Economy",https://en.wikipedia.org/wiki/Bangladesh#Economy
"5.1
Energy",https://en.wikipedia.org/wiki/Bangladesh#Energy
"5.2
Tourism",https://en.wikipedia.org/wiki/Bangladesh#Tourism
"6
Demographics",https://en.wikipedia.org/wiki/Bangladesh#Demographics
"6.1
Urban centres",https://en.wikipedia.org/wiki/Bangladesh#Urban_centres
"6.2
Language",https://en.wikipedia.org/wiki/Bangladesh#Language
"6.3
Religion",https://en.wikipedia.org/wiki/Bangladesh#Religion
"6.4
Education",https://en.wikipedia.org/wiki/Bangladesh#Education
"6.5
Health",https://en.wikipedia.org/wiki/Bangladesh#Health
"7
Culture",https://en.wikipedia.org/wiki/Bangladesh#Culture
"7.1
Holidays and festivals",https://en.wikipedia.org/wiki/Bangladesh#Holidays_and_festivals
"7.2
Literature",https://en.wikipedia.org/wiki/Bangladesh#Literature
"7.3
Architecture",https://en.wikipedia.org/wiki/Bangladesh#Architecture
"7.4
Visual arts, crafts and clothing","https://en.wikipedia.org/wiki/Bangladesh#Visual_arts,_crafts_and_clothing"
"7.5
Performing arts",https://en.wikipedia.org/wiki/Bangladesh#Performing_arts
"7.6
Media and cinema",https://en.wikipedia.org/wiki/Bangladesh#Media_and_cinema
"7.7
Cuisine",https://en.wikipedia.org/wiki/Bangladesh#Cuisine
"7.8
Sports",https://en.wikipedia.org/wiki/Bangladesh#Sports
"8
See also",https://en.wikipedia.org/wiki/Bangladesh#See_also
"9
Notes",https://en.wikipedia.org/wiki/Bangladesh#Notes
"10
References",https://en.wikipedia.org/wiki/Bangladesh#References
"10.1
Sources",https://en.wikipedia.org/wiki/Bangladesh#Sources
"11
Further reading",https://en.wikipedia.org/wiki/Bangladesh#Further_reading
"11.1
Government",https://en.wikipedia.org/wiki/Bangladesh#Government
"11.2
History",https://en.wikipedia.org/wiki/Bangladesh#History_2
"11.3
Tourism",https://en.wikipedia.org/wiki/Bangladesh#Tourism_2
"11.4
Maps",https://en.wikipedia.org/wiki/Bangladesh#Maps
"12
External links",https://en.wikipedia.org/wiki/Bangladesh#External_links
Аԥсшәа,https://ab.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
abstract:Q902,https://abstract.wikipedia.org/wiki/Q902
Acèh,https://ace.wikipedia.org/wiki/Banglad%C3%A8sh
Адыгабзэ,https://ady.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Afrikaans,https://af.wikipedia.org/wiki/Bangladesj
Alemannisch,https://als.wikipedia.org/wiki/Bangladesch
አማርኛ,https://am.wikipedia.org/wiki/%E1%89%A3%E1%8A%95%E1%8C%8D%E1%88%8B%E1%8B%B4%E1%88%BD
Pangcah,https://ami.wikipedia.org/wiki/Bangladesh
Aragonés,https://an.wikipedia.org/wiki/Bangladesh
Ænglisc,https://ang.wikipedia.org/wiki/B%C3%A6ngladesc
अंगिका,https://anp.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
العربية,https://ar.wikipedia.org/wiki/%D8%A8%D9%86%D8%BA%D9%84%D8%A7%D8%AF%D9%8A%D8%B4
الدارجة,https://ary.wikipedia.org/wiki/%D8%A8%D8%A7%D9%86%DD%A3%D9%84%D8%A7%D8%AF%D9%8A%D8%B4
مصرى,https://arz.wikipedia.org/wiki/%D8%A8%D8%A7%D9%86%D8%AC%D9%84%D8%A7%D8%AF%D9%8A%D8%B4
অসমীয়া,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
Asturianu,https://ast.wikipedia.org/wiki/Bangladex
Авар,https://av.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Kotava,https://avk.wikipedia.org/wiki/Bangladeca
अवधी,https://awa.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Aymar aru,https://ay.wikipedia.org/wiki/Banladish
Azərbaycanca,https://az.wikipedia.org/wiki/Banqlade%C5%9F
تۆرکجه,https://azb.wikipedia.org/wiki/%D8%A8%D9%86%D9%82%D9%84%D8%A7%D8%AF%D8%B4
Башҡортса,https://ba.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Basa Bali,https://ban.wikipedia.org/wiki/Bangladesh
Boarisch,https://bar.wikipedia.org/wiki/Bangladesch
Žemaitėška,https://bat-smg.wikipedia.org/wiki/Banglade%C5%A1os
Bikol Central,https://bcl.wikipedia.org/wiki/Banglades
Беларуская (тарашкевіца),https://be-tarask.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D1%8F%D0%B4%D1%8D%D1%88
Беларуская,https://be.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D1%8D%D1%88
Betawi,https://bew.wikipedia.org/wiki/Benggalad%C3%A9sa
Български,https://bg.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
भोजपुरी,https://bh.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Bislama,https://bi.wikipedia.org/wiki/Banglades
Banjar,https://bjn.wikipedia.org/wiki/Bangladisa
ပအိုဝ်ႏဘာႏသာႏ,https://blk.wikipedia.org/wiki/%E1%80%97%E1%80%94%E1%80%BA%E1%80%B8%E1%80%80%E1%80%9C%E1%80%AC%E1%80%B8%E1%80%92%E1%80%B1%E1%80%90%E1%80%BA%E1%80%81%E1%80%99%E1%80%BA%E1%80%B8%E1%80%91%E1%80%AE
Bamanankan,https://bm.wikipedia.org/wiki/Bangladesh
